babySnapshot.milestone	कान अपनी जगह, नन्ही हिचकियाँ
babySnapshot.weekHeadline	इस हफ़्ते आपके शिशु के कान अपनी आख़िरी जगह के क़रीब पहुँच रहे हैं, और चुपचाप हिचकियाँ भी शुरू हो सकती हैं।
babySnapshot.size.fruit	सेब
babySnapshot.size.length	9.0 से 10.5 cm
babySnapshot.size.weight	लगभग 70 g
babySnapshot.reveal	माँ, मेरे कान अपनी जगह ले रहे हैं, और अब शायद मुझे चुपचाप हिचकियाँ भी आने लगी हैं।
babyDevelopment.whatImDoing	मेरे कान अब मेरे सिर के दोनों तरफ़ अपनी आख़िरी जगह के क़रीब हैं। मेरी त्वचा अभी पतली और पारदर्शी है, इसलिए उसके नीचे मेरी रक्त-नलिकाएँ और हड्डियाँ आसानी से दिख जाती हैं। छोटे-छोटे बाल बढ़ते जा रहे हैं — मेरी भौंहें, पलकों के बाल और सिर के महीन बाल भी। अब मेरे पैर मेरे हाथों से लंबे हो गए हैं, और मैं अपने सारे अंग और जोड़ हिला रहा हूँ, उँगलियाँ और पैर की उँगलियाँ चला रहा हूँ, और शायद चुपचाप हिचकियाँ लेने का अभ्यास भी कर रहा हूँ।
momJourney.physicalChanges	आपकी बच्चेदानी पेल्विस से ऊपर उठती जा रही है, और आपका बंप धीरे-धीरे और साफ़ दिखने लगा है। आपके शिशु की हरकतें मज़बूत और बेहतर तालमेल वाली होती जा रही हैं, भले ही आपको अभी वे शायद महसूस न हों — जब तक कि यह आपकी दूसरी या उसके बाद की गर्भावस्था न हो। इस समय से वज़न का स्थिर और सेहतमंद बढ़ना ज़्यादा दिखने लगता है, जो आपके शिशु के तेज़ विकास में मदद करता है।
momJourney.emotionalState	बहुत सी महिलाएँ इस दौर में सचमुच अच्छा महसूस करती हैं — ऊर्जा टिकी रहती है और शुरुआती दिनों की सबसे मुश्किल घड़ी पीछे छूट चुकी होती है। अगर यह आपकी पहली गर्भावस्था नहीं है, तो हो सकता है जल्द ही आपको हलचल की पहली हल्की सी सरसराहट महसूस हो — पहली बार माँ बनने वाली महिलाओं को यह आमतौर पर थोड़ा बाद में महसूस होता है।
momJourney.commonSymptoms[0]	सीने में जलन
momJourney.commonSymptoms[1]	कब्ज़
momJourney.commonSymptoms[2]	स्तनों में हल्का दर्द
momJourney.commonSymptoms[3]	नसों का उभरना
momJourney.commonSymptoms[4]	बची हुई मितली
momJourney.commonSymptoms[5]	चक्कर आना
momJourney.selfCareTip	अगर शाम तक पैरों में सूजन आने लगे तो थोड़े ढीले, आरामदायक जूते मदद करते हैं। अच्छा खाते रहें, हल्की-फुल्की हलचल बनाए रखें, और इस दौर की टिकी हुई ऊर्जा का आनंद लें।
momJourney.reassurance	अगर आपने अभी तक अपने शिशु की हलचल महसूस नहीं की है, तो यह बिलकुल सामान्य है — पहली बार माँ बनने वाली ज़्यादातर महिलाओं को यह अभी कई हफ़्ते बाद महसूस होती है। इस शांत दौर का आनंद लें और भरोसा रखें कि यह आपकी अपनी गर्भावस्था का हिस्सा है।
nutrition.nutritionTheme	आयरन, फ़ाइबर और कैल्शियम
nutrition.focusNutrients[0]	आयरन
nutrition.focusNutrients[1]	फ़ाइबर
nutrition.focusNutrients[2]	कैल्शियम
nutrition.whyNow	इस समय आपकी फ़ाइबर और आयरन दोनों की ज़रूरत बढ़ रही है, और आपके शिशु की हड्डियाँ लगातार मज़बूत हो रही हैं — इसलिए इस हफ़्ते आयरन से भरपूर, फ़ाइबर वाला खाना और कैल्शियम, तीनों मायने रखते हैं।
nutrition.foods[0]	बाजरा
nutrition.foods[1]	तिल
nutrition.foods[2]	पनीर और दूध-दही
nutrition.foods[3]	खट्टे फल और आँवला
nutrition.foods[4]	साबुत अनाज और ओट्स
nutrition.foods[5]	मेवे और बीज
nutrition.foods[6]	पालक और हरी पत्तेदार सब्ज़ियाँ
nutrition.indianSuperfoodOfTheWeek.food	बाजरा
nutrition.indianSuperfoodOfTheWeek.benefit	आयरन और फ़ाइबर से भरपूर, और इस हफ़्ते पाचन को सँभालने का एक हल्का, पेट भरने वाला तरीक़ा।
nutrition.indianSuperfoodOfTheWeek.howToConsume	बाजरे की रोटी, भाकरी, या एक कटोरी गरम खिचड़ी के रूप में लें।
nutrition.mealIdea	बाजरे की रोटी के साथ पालक, साथ में दही, और बाद में एक संतरा या आँवला — ताकि शरीर आयरन बेहतर सोख सके।
nutrition.tip	आयरन वाले खाने के साथ विटामिन C लें — जैसे आँवला, संतरा या नींबू पानी। इससे शरीर आयरन कहीं बेहतर तरीक़े से सोखता है।
actionPlan.doThisWeek	अपने anomaly scan (हफ़्ता 18 से 20) की तैयारी शुरू करें, आयरन से भरपूर खाना खाते रहें, और हल्की-फुल्की हलचल बनाए रखें।
actionPlan.skipThisWeek	तनाव को नज़रअंदाज़ करना, या ख़ुद पर गर्भावस्था से पहले जैसी रफ़्तार बनाए रखने का दबाव डालना।
actionPlan.redFlags	अगर ज़्यादा ब्लीडिंग, पेट में तेज़ दर्द, बुख़ार, लगातार उल्टी जिससे पानी भी पेट में न टिके, या कुछ भी ठीक न लगे — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	जन्म से पहले शिशु को आपकी आवाज़ सुनने का कोई फ़ायदा नहीं होता।
actionPlan.mythBuster.truth	आपके शिशु में सुनने के लिए ज़रूरी हिस्से अभी से बन रहे हैं, और वह जल्द ही जानी-पहचानी आवाज़ें पहचानने लगेगा।
garbhSanskar.affirmation	मैं एक ऐसा रिश्ता बुन रही हूँ जो ज़िंदगी भर रहेगा।
garbhSanskar.reflectionPrompt	आप अपने शिशु के सबसे क़रीब कब महसूस करती हैं?
garbhSanskar.spokenLine	माँ, मेरी दुनिया बड़ी हो रही है।
reflectAndRemember.reflectionPrompt	आप अपने शिशु के सबसे क़रीब कब महसूस करती हैं?
reflectAndRemember.journalPrompt	वे पल लिखिए जब गर्भावस्था आपको सबसे ज़्यादा सच्ची महसूस होती है।
reflectAndRemember.photoPrompt	इस हफ़्ते का अपना सबसे पसंदीदा पल तस्वीर में क़ैद करें।
partnerCorner.whatSheMayFeel	इस हफ़्ते वह शायद सचमुच अच्छा महसूस कर रही है — ऊर्जा टिकी हुई और बंप बढ़ता हुआ। अगर यह उसकी पहली गर्भावस्था नहीं है, तो उसे जल्द ही हलचल की पहली हल्की सरसराहट महसूस हो सकती है।
partnerCorner.whatYouCanDo	पूछिए कि उसे कोई हलचल महसूस हुई या नहीं, इस आरामदेह दौर को साथ मिलकर मनाइए, हल्की हलचल और अच्छे खाने के लिए प्रोत्साहित कीजिए, और बचे हुए लक्षणों के साथ धीरज रखिए।
partnerCorner.oneMission	anomaly scan (हफ़्ता 18 से 20) की तैयारी साथ मिलकर शुरू कीजिए, और इस शांत अध्याय का साथ-साथ आनंद लीजिए।
partnerCorner.shareMessage	इस हफ़्ते मेरे कान अपनी आख़िरी जगह ले रहे हैं, और मेरे पैर मेरे हाथों से लंबे हो गए हैं। अब मैं लगभग एक सेब जितना हूँ, और शायद मुझे चुपचाप हिचकियाँ भी आती हैं।
