53	नारियल पानी की सलाह हर जगह दी जाती है — इसे ताज़े कच्चे नारियल से पीजिए, मीठे पैकेट वाले के बजाय।
54	छाछ
55	छाछ सुरक्षित है, ठंडक देती है और पाचन के लिए अच्छी है।
56	दही से बनी, यह Calcium और probiotics देती है, अम्लता में मदद करती है, और शरीर में पानी बनाए रखती है। एक हल्का, पेट के अनुकूल विकल्प।
57	थोड़े जीरे और पुदीने वाली छाछ रोज़ का एक बढ़िया पेय है, ख़ासकर गर्मियों में।
58	शराब
59	गर्भावस्था में शराब की कोई भी मात्रा सुरक्षित नहीं मानी जाती।
60	शराब placenta पार करके आपके शिशु तक पहुँचती है, और कोई सुरक्षित मात्रा या सुरक्षित समय तय नहीं हुआ है। साफ़, सरल सलाह है कि इससे पूरी तरह बचिए।
61	कोल्ड ड्रिंक / सोडा
62	कभी-कभार एक ठीक है, पर इनमें चीनी और caffeine ज़्यादा होते हैं।
63	कोला आपके रोज़ के caffeine में जुड़ता है और ज़्यादातर कोल्ड ड्रिंक बहुत मीठे होते हैं और उनसे फ़ायदा कम। कभी-कभार की ख़ुशी के तौर पर ठीक, रोज़ के पेय के तौर पर नहीं।
64	पानी (कितना)
65	ख़ूब पीजिए — शरीर में पानी बनाए रखना सबसे आसान अच्छी आदतों में से एक है।
66	दिन में लगभग 8–10 गिलास का लक्ष्य रखिए (गर्मी में या ज़्यादा सक्रिय हों तो और)। अच्छी मात्रा में पानी क़ब्ज़, सूजन और आम Braxton Hicks कसाव में मदद करता है।
67	Paracetamol (Crocin / Dolo)
68	बुख़ार या दर्द के लिए Paracetamol आम तौर पर पसंदीदा विकल्प माना जाता है — जो काम करे वह सबसे कम ख़ुराक, सबसे कम समय के लिए।
69	गर्भावस्था में यह सबसे ज़्यादा इस्तेमाल होने वाली दर्द/बुख़ार की दवा है और आम तौर पर दूसरों से बेहतर मानी जाती है। फिर भी, इसे सिर्फ़ ज़रूरत पर लीजिए और अगर आप इसे बार-बार ले रही हैं तो डॉक्टर को बताइए।
70	Ibuprofen
71	गर्भावस्था में आम तौर पर इससे बचा जाता है — ख़ासकर तीसरी तिमाही में। पहले अपने डॉक्टर से पूछिए।
72	Ibuprofen एक anti-inflammatory (NSAID) है जो गर्भावस्था में आम तौर पर नहीं सुझाई जाती, ख़ासकर बाद के दौर में। इसकी जगह आम तौर पर Paracetamol सुझाया जाता है।
73	तीसरी तिमाही में इससे पूरी तरह बचना बेहतर है — यह शिशु पर असर डाल सकती है। अपने डॉक्टर के बिना इसे मत लीजिए।
74	Combiflam
75	अपने आप न लेना बेहतर है — इसमें Ibuprofen है। अपने डॉक्टर से पूछिए।
76	Combiflam में Paracetamol के साथ Ibuprofen मिला होता है, और Ibuprofen वाला हिस्सा ही वह है जिससे गर्भावस्था में आम तौर पर बचा जाता है। बुख़ार या दर्द के लिए सादा Paracetamol ज़्यादा सुरक्षित विकल्प है।
77	Antibiotics
78	कुछ गर्भावस्था में सुरक्षित हैं और कुछ नहीं — सिर्फ़ वही antibiotics लीजिए जो आपके डॉक्टर लिखें।
79	यह पूरी तरह इस पर निर्भर करता है कि कौन सा antibiotic है। कई गर्भावस्था में सुरक्षित रूप से इस्तेमाल होते हैं; कुछ से बचा जाता है। यह वह चीज़ है जिसे कभी ख़ुद से न लें और न पुरानी पत्ती से दोबारा इस्तेमाल करें।
80	Folic Acid
81	गर्भावस्था में Folic acid सुझाया जाता है — इसे अपने डॉक्टर की सलाह के मुताबिक़ लीजिए।
82	यह आपके शिशु के शुरुआती दिमाग़ और रीढ़ के विकास में मदद करता है, इसीलिए इसे गर्भधारण से पहले से शुरुआती गर्भावस्था तक लेने की सलाह दी जाती है। यह उन कुछ चीज़ों में है जिन्हें सक्रिय रूप से प्रोत्साहित किया जाता है।
