1691	माता-पिता क्या कहते हैं
1692	सबसे पसंद
1693	सबसे ज़्यादा तारीफ़
1694	सबसे ज़्यादा कमी
1695	दोबारा ख़रीदेंगे
1696	असली माता-पिता की राय
1697	कब इस्तेमाल किया
1698	मुझे क्या पसंद आया
1699	इसका ध्यान रखें
1700	मिलते-जुलते प्रोडक्ट
1701	अभी कुछ सेव नहीं हुआ। किसी भी प्रोडक्ट पर दिल दबाकर यहाँ रखिए।
1702	ख़रीदारी जल्द — सेव करना अभी चलता है ❤️
1703	Affiliate
1704	Amazon पर ख़रीदें
1705	Amazon पर मिलता है — बाहर खुलता है।
1706	प्रोडक्ट खोजें
1707	सबसे बेहतर
1708	कम दाम में बेहतर
1709	प्रीमियम में बेहतर
1710	नाज़ुक त्वचा के लिए
1711	नवजात के लिए
1712	आप क्या साझा करना चाहेंगी?
1713	साझा करें
1714	आपकी कम्युनिटी में पोस्ट हो गया ❤️
1715	डॉक्टर बनकर पोस्ट करें
1716	सत्यापित डॉक्टर के रूप में पोस्ट हो गया 🩺
1717	सत्यापित डॉक्टर के रूप में पोस्ट
1718	विशेषज्ञ
1719	जल्द आ रहा है
1720	याद दिलाएँ
1721	माँओं का एक घेरा, जो आपके साथ उसी राह पर चल रही हैं।
1722	फ़ॉलो किए
1723	$n नए
1724	सत्यापित विशेषज्ञ इस अनुभव का समर्थन करते हैं
1725	पसंद
1726	सत्यापित विशेषज्ञ
1727	+$n और विशेषज्ञ
1728	इन विशेषज्ञों ने सत्यापित किया
1729	…और $n सत्यापित विशेषज्ञ
1730	डॉक्टर मोड
1731	आप एक सत्यापित डॉक्टर के रूप में देख रहे हैं · टेस्ट मोड
1732	डॉक्टर मोड चालू — टेस्ट
1733	डॉक्टर मोड बंद
1734	सत्यापित करें
1735	आपने सत्यापित किया
1736	बाहर
1737	$name ने सत्यापित किया
1738	$name +$n विशेषज्ञों ने सत्यापित किया
1739	विशेषज्ञ से सत्यापित करने को कहें
1740	एक सत्यापित विशेषज्ञ आपकी पोस्ट देखकर पुष्टि कर सकते हैं।
1741	विशेषज्ञ के सत्यापन का इंतज़ार
1742	सत्यापन चाहिए
1743	अभी कोई पोस्ट सत्यापन के लिए नहीं है।
1744	Gynaecologist
1745	Pediatrician
1746	Lactation expert
1747	Nutritionist
1748	Physiotherapist
1749	मानसिक सेहत
1750	कोई भी डॉक्टर
1751	किस विशेषज्ञ से पूछें?
1752	$specialty सत्यापन का इंतज़ार
1753	सत्यापित करने के लिए कमेंट कीजिए
1754	ParentVeda कम्युनिटी से
1755	फ़ोटो जोड़ें
1756	कैमरा
1757	इस समूह के साथ कुछ साझा कीजिए…
1758	आप अकेली नहीं हैं
1759	127 माँएँ भी नवंबर 2026 में डिलीवरी की उम्मीद में हैं।
1760	+124 माँएँ अभी ऑनलाइन
1761	आज चर्चा में
1762	34 माँएँ अपने हफ़्ता-18 की जीत साझा कर रही हैं।
1763	#Week18 · 2 घंटे पहले अपडेट
1764	विशेषज्ञ लाइव
1765	डॉ. मीरा latch और feeding पर सवाल-जवाब ले रही हैं।
1766	आज · 6:00 PM · रिमाइंडर सेट करने के लिए टैप करें
1767	एक प्यारी याद
1768	इस महीने आपने एक पूरी धड़कन बढ़ाई। 💜
1769	आज कैसा लग रहा है, दर्ज करने के लिए टैप करें
1770	सवाल
1771	अनुभव
1772	पोल
1773	फ़ोटो
1774	पड़ाव
1775	विशेषज्ञ
1776	ParentVeda
1777	आज का पाठ
1778	लेख
1779	शोध का सार
1780	किताबों का सार
1781	सार पढ़ें
1782	किताब ख़रीदें
1783	सभी देखें
1784	पढ़ने के सुझाव
1785	आपकी गर्भावस्था के चरण के लिए चुनी हुई पढ़ाई।
1786	इस हफ़्ते की पसंद
1787	यह अभी क्यों ज़रूरी है
1788	अभी पढ़ें
1789	इस हफ़्ते के लिए सुझाए गए
1790	आगे की तैयारी
1791	लगभग हफ़्ता $week के आसपास
1792	पसंदीदा किताबें
1793	शोध आसान भाषा में
1794	विशेषज्ञ की सलाह
1795	सुझाया गया
1796	ParentVeda इसे क्यों सुझाता है
1797	बाद के लिए सेव
1798	अभी कुछ सेव नहीं हुआ। जो बाद में पढ़ना हो उस पर दिल दबाइए।
