210	हफ़्ता $w
211	सूची
212	किताब
213	क्रम
214	महीना
215	हफ़्ता
216	मेरा गर्भावस्था जर्नल
217	$name का गर्भावस्था जर्नल
218	हफ़्ते $a–$b
219	पलटने के लिए स्वाइप करें
220	हफ़्ता $w पूरा हुआ
221	पहली तिमाही पूरी
222	दूसरी तिमाही पूरी
223	तीसरी तिमाही शुरू
224	आधा सफ़र पूरा
225	Viability का पड़ाव पार
226	पूरे समय तक पहुँचे
227	वज़न दर्ज हुआ
228	हलचल का सेशन दर्ज हुआ
229	पहली हलचल दर्ज हुई
231	आपका जर्नल कहाँ से भरता है
232	कुछ एंट्री आप ख़ुद जोड़ती हैं; कुछ ऐप इस्तेमाल करते हुए अपने आप आ जाती हैं।
233	यादें — आप लिखती हैं।
234	शिशु के लिए नोट — आप लिखती हैं, उनकी अपनी जगह पर।
235	फ़ोटो — आप अपनी गैलरी से जोड़ती हैं।
236	पड़ाव — अपने आप, आपकी डिलीवरी की तारीख़ से।
237	वज़न, हलचल और लक्षण — आपके ट्रैकर और Symptoms Companion से।
238	स्कैन और रिपोर्ट — अपलोड शुरू होने पर आएँगे (जल्द आ रहा है)।
239	आपकी यादें यहाँ जमा होंगी। पहली लिखने के लिए "याद बनाएँ" दबाइए।
240	आपकी फ़ोटो यहाँ जमा होंगी। "याद बनाएँ" से एक जोड़िए।
241	पड़ाव यहाँ अपने आप आते हैं, जैसे-जैसे आपकी गर्भावस्था आगे बढ़ती है 💜
242	आपके वज़न और हलचल के रिकॉर्ड यहाँ ट्रैकर से अपने आप आते हैं।
243	स्कैन और रिपोर्ट यहाँ अपलोड शुरू होने पर आएँगे — जल्द आ रहा है 💜
244	शिशु के लिए आपके नोट यहाँ जमा होंगे। पहला "याद बनाएँ" से लिखिए।
245	कैलेंडर
246	मेरा कैलेंडर
247	टाइमलाइन
248	कैलेंडर
249	आगे
250	$n दिन साथ
251	सब
252	पड़ाव
253	मेडिकल
254	जर्नल
255	निजी
256	ParentVeda
257	इवेंट खोजें
258	इस हफ़्ते
259	अगले 2 हफ़्ते
260	इस महीने
261	बाद में
262	आपका सफ़र यहाँ दिखेगा, जैसे-जैसे वह आगे बढ़ेगा।
263	अभी आगे कुछ तय नहीं है।
264	इस दिन कुछ नहीं।
265	निजी इवेंट जोड़ें
266	इवेंट का नाम
267	नोट (ज़रूरी नहीं)
268	पूरा
269	आने वाला
270	हफ़्ता $n खोलें
271	जर्नल खोलें
272	आज
273	कल
274	$n दिन में
