lib/screens/enterprise/activation_flow_screen.dart	7424	7476	हो सकता है आपकी कंपनी यह पहले से दे रही हो।
lib/screens/enterprise/activation_flow_screen.dart	7641	7781	कुछ कंपनियाँ अपनी टीम के लिए ParentVeda का ख़र्च उठाती हैं। अपना ऑफ़िस वाला ईमेल डालिए, हम जाँच लेते हैं।
lib/screens/enterprise/activation_flow_screen.dart	8574	8610	जो ईमेल आपकी कंपनी के पास है
lib/screens/enterprise/activation_flow_screen.dart	10088	10298	हमने आपका ParentVeda वाला ईमेल भर दिया है — अगर कंपनी आपके लिए कोई और ईमेल इस्तेमाल करती है तो उसे बदल लीजिए। दोनों ही हाल में हम इसे एक बार जाँचते हैं, उन्हें कभी दिखाते नहीं।
lib/screens/enterprise/activation_flow_screen.dart	10681	10693	आगे बढ़िए
lib/screens/enterprise/activation_flow_screen.dart	11160	11189	अपना ऑफ़िस वाला इनबॉक्स देखिए।
lib/screens/enterprise/activation_flow_screen.dart	11342	11451	हमने ${_email.text.trim()} पर छह अंकों का कोड भेजा है। यह दस मिनट तक चलेगा।
lib/screens/enterprise/activation_flow_screen.dart	13456	13471	चालू कीजिए
lib/screens/enterprise/activation_flow_screen.dart	13775	13792	नया कोड भेजिए
lib/screens/enterprise/activation_flow_screen.dart	13869	13894	नहीं मिला? दोबारा भेजिए
lib/screens/enterprise/activation_flow_screen.dart	14301	14324	कोई दूसरा ईमेल इस्तेमाल कीजिए
lib/screens/enterprise/activation_flow_screen.dart	14675	14695	आपकी कंपनी
lib/screens/enterprise/activation_flow_screen.dart	15240	15254	सब हो गया।
lib/screens/enterprise/activation_flow_screen.dart	15331	15372	ParentVeda Premium, $name की तरफ़ से।
lib/screens/enterprise/activation_flow_screen.dart	15854	15870	देखिए क्या-क्या मिला
lib/screens/enterprise/activation_flow_screen.dart	16077	16093	आपकी कंपनी
lib/screens/enterprise/activation_flow_screen.dart	16201	16233	आपकी गर्भावस्था और आपका शिशु
lib/screens/enterprise/activation_flow_screen.dart	16277	16303	आपका जर्नल और आपकी तस्वीरें
lib/screens/enterprise/activation_flow_screen.dart	16342	16365	Ask Veda पर आपके सवाल
lib/screens/enterprise/activation_flow_screen.dart	16408	16440	जो भी आप खोजती या पढ़ती हैं
lib/screens/enterprise/activation_flow_screen.dart	16485	16517	आपके अपॉइंटमेंट और रिपोर्ट
lib/screens/enterprise/activation_flow_screen.dart	16984	17022	आपकी कंपनी को क्या कभी नहीं दिखता
lib/screens/enterprise/activation_flow_screen.dart	18092	18215	उन्हें दिखता है कि कितने लोगों ने चालू किया। कौन, यह नहीं — और आपके बारे में कुछ नहीं।
lib/screens/enterprise/activation_flow_screen.dart	18472	18668	$name को सिर्फ़ इतना दिखता है कि कितने लोगों ने यह सुविधा चालू की और सब मिलाकर कितने कंसल्टेशन इस्तेमाल हुए। कौन, यह कभी नहीं — क्या, यह भी कभी नहीं।
lib/screens/enterprise/employer_benefits_screen.dart	3575	3614	कंपनी की कोई सुविधा अभी चालू नहीं है।
lib/screens/enterprise/employer_benefits_screen.dart	3767	3875	अगर आपकी कंपनी ParentVeda का ख़र्च उठाती है, तो अपने ऑफ़िस वाले ईमेल से इसे चालू कीजिए।
lib/screens/enterprise/employer_benefits_screen.dart	5532	5561	${sponsor.name} की तरफ़ से
lib/screens/enterprise/employer_benefits_screen.dart	7342	7520	किसी भी ParentVeda डॉक्टर या काउंसलर से मिलने का समय बुक कीजिए। आपकी कंपनी को यह नहीं बताया जाता कि आप किससे मिलीं और क्यों।
