babySnapshot.milestone	और मज़बूत होता हुआ
babySnapshot.weekHeadline	आपके शिशु का शरीर तेज़ी से बढ़ रहा है, और उसकी नन्ही हरकतों में हर दिन बेहतर तालमेल आ रहा है।
babySnapshot.size.fruit	एक सेब
babySnapshot.size.length	लगभग 10.1 cm
babySnapshot.size.weight	लगभग 70 g
babySnapshot.reveal	माँ, मैं अंगड़ाई ले रहा हूँ, हिल-डुल रहा हूँ और हर बीतते दिन के साथ मज़बूत हो रहा हूँ।
babyDevelopment.whatImDoing	मेरी मांसपेशियाँ और हड्डियाँ मज़बूत हो रही हैं। अब मैं अपने हाथ, पैर और जोड़ ज़्यादा आसानी से हिला पाता हूँ। मेरे कान बन रहे हैं, और मैं आने वाले हफ़्तों में अपने आस-पास की दुनिया सुनने की तैयारी कर रहा हूँ।
momJourney.physicalChanges	आपका बंप अब ज़्यादा दिखने लगेगा। ख़ून का बहाव बढ़ने से आपकी त्वचा पर एक सेहतमंद निखार आ सकता है, और बढ़ती बच्चेदानी से बीच-बीच में खिंचाव महसूस हो सकता है।
momJourney.emotionalState	इस दौर में बहुत सी माँएँ ज़्यादा स्थिर और आशावान महसूस करती हैं, और साथ ही जन्म के बाद की ज़िंदगी की कल्पना भी करने लगती हैं।
momJourney.commonSymptoms[0]	बढ़ता हुआ बंप
momJourney.commonSymptoms[1]	भूख बढ़ना
momJourney.commonSymptoms[2]	Round ligament में दर्द
momJourney.commonSymptoms[3]	कभी-कभी सिरदर्द
momJourney.selfCareTip	हल्की हलचल के साथ सक्रिय रहिए और बदलते शरीर के साथ बैठने-खड़े होने के सही ढंग पर ध्यान दीजिए।
momJourney.reassurance	जैसे-जैसे बच्चेदानी शिशु के लिए जगह बनाती है, हल्का खिंचाव और तनाव महसूस होना आम है।
nutrition.nutritionTheme	हड्डियों और दाँतों के लिए
nutrition.focusNutrients[0]	Vitamin D
nutrition.focusNutrients[1]	कैल्शियम
nutrition.whyNow	आपके शिशु की हड्डियाँ और आगे आने वाले दाँत तेज़ी से बन रहे हैं, जिनके लिए कैल्शियम और Vitamin D चाहिए।
nutrition.foods[0]	दूध
nutrition.foods[1]	पनीर
nutrition.foods[2]	दही
nutrition.foods[3]	रागी
nutrition.foods[4]	तिल
nutrition.indianSuperfoodOfTheWeek.food	तिल
nutrition.indianSuperfoodOfTheWeek.benefit	कैल्शियम, अच्छी वसा और ज़रूरी खनिज देता है, जो हड्डियों के विकास में मदद करते हैं।
nutrition.indianSuperfoodOfTheWeek.howToConsume	तिल के लड्डू, सलाद पर छिड़ककर, या चटनी में मिलाकर।
nutrition.mealIdea	मेवों के साथ रागी का दलिया और एक कटोरी दही।
nutrition.tip	अगर डॉक्टर ने कहा हो तो सुबह की धूप में थोड़ा समय बिताइए, और बताई गई Vitamin D की दवा लेते रहिए।
actionPlan.doThisWeek	हर दिन अपने शिशु से बात कीजिए, सेहतमंद दिनचर्या जारी रखिए, और आराम के लिए समय निकालिए।
actionPlan.skipThisWeek	तनाव को नज़रअंदाज़ करना, या ख़ुद पर गर्भावस्था से पहले जैसी रफ़्तार बनाए रखने का दबाव डालना।
actionPlan.redFlags	अगर ब्लीडिंग, पेट में तेज़ दर्द, पानी जैसा स्राव, लगातार तेज़ सिरदर्द या बुख़ार हो — तो अपने डॉक्टर से संपर्क करें।
actionPlan.mythBuster.myth	जन्म से पहले शिशु को आपकी आवाज़ सुनने का कोई फ़ायदा नहीं होता।
actionPlan.mythBuster.truth	आपके शिशु में सुनने के लिए ज़रूरी हिस्से अभी से बन रहे हैं, और वह जल्द ही जानी-पहचानी आवाज़ें पहचानने लगेगा।
garbhSanskar.affirmation	मैं एक ऐसा रिश्ता बुन रही हूँ जो ज़िंदगी भर रहेगा।
garbhSanskar.reflectionPrompt	आप अपने शिशु के सबसे क़रीब कब महसूस करती हैं?
garbhSanskar.spokenLine	माँ, मेरी दुनिया बड़ी हो रही है।
reflectAndRemember.reflectionPrompt	आप अपने शिशु के सबसे क़रीब कब महसूस करती हैं?
reflectAndRemember.journalPrompt	वे पल लिखिए जब गर्भावस्था आपको सबसे ज़्यादा सच्ची महसूस होती है।
reflectAndRemember.photoPrompt	इस हफ़्ते का अपना सबसे पसंदीदा पल तस्वीर में क़ैद कीजिए।
partnerCorner.whatSheMayFeel	शिशु से लगातार और जुड़ती हुई, और आगे के सफ़र को लेकर उत्साहित।
partnerCorner.whatYouCanDo	शिशु से बात करने, कहानी पढ़ने या गाने जैसे जुड़ाव के कामों में उसका साथ दीजिए।
partnerCorner.oneMission	साथ मिलकर शिशु को एक छोटी कहानी सुनाइए या बचपन की कोई पसंदीदा याद बाँटिए।
partnerCorner.shareMessage	हमारा नन्हा हर दिन मज़बूत हो रहा है — और हमारा रिश्ता भी ❤
